Bug Name,Severity
SQL Injection,Critical
Remote Code Execution,Critical
Command Injection,Critical
Buffer Overflow,Critical
Zero-Day Exploits,Critical
Authentication Bypass,Critical
Privilege Escalation,Critical
Memory Corruption,Critical
Deserialization of Untrusted Data,Critical
Use After Free,Critical
Out-of-bounds Write,Critical
Heap Buffer Overflow,Critical
Stack Buffer Overflow,Critical
Format String Vulnerability,Critical
Double Free,Critical
Null Pointer Dereference,Critical
Integer Overflow,Critical
Path Traversal,Critical
Directory Traversal,Critical
Cross-Site Scripting (XSS),Critical
Cross-Site Request Forgery (CSRF),Critical
XML External Entity (XXE),Critical
LDAP Injection,Critical
Code Injection,Critical
OS Command Injection,Critical
Blind SQL Injection,Critical
Time-based SQL Injection,Critical
Boolean-based SQL Injection,Critical
Union-based SQL Injection,Critical
Error-based SQL Injection,Critical
Server-Side Template Injection,Critical
Client-Side Template Injection,Critical
NoSQL Injection,Critical
XPath Injection,Critical
Expression Language Injection,Critical
Object Injection,Critical
Prototype Pollution,Critical
Type Confusion,Critical
Race Condition,Critical
Time-of-check Time-of-use (TOCTOU),Critical
Symlink Attack,Critical
Hard Link Attack,Critical
DLL Hijacking,Critical
Binary Planting,Critical
Arbitrary File Upload,Critical
Unrestricted File Upload,Critical
Path Manipulation,Critical
Canonicalization Error,Critical
Improper Input Validation,Critical
Improper Output Encoding,Critical
Insecure Deserialization,Critical
Untrusted Deserialization,Critical
Memory Leak,Critical
Resource Exhaustion,Critical
Denial of Service (DoS),Critical
Distributed Denial of Service (DDoS),Critical
Application DoS,Critical
Network DoS,Critical
Protocol DoS,Critical
Algorithmic Complexity DoS,Critical
Regex DoS (ReDoS),Critical
XML Bomb,Critical
Zip Bomb,Critical
Fork Bomb,Critical
Logic Bomb,Critical
Backdoor,Critical
Trojan Horse Functionality,Critical
Hidden Functionality,Critical
Debug Code in Production,Critical
Test Code in Production,Critical
Developer Backdoor,Critical
Hardcoded Credentials,Critical
Hardcoded Password,Critical
Hardcoded API Key,Critical
Hardcoded Encryption Key,Critical
Weak Cryptographic Algorithm,Critical
Broken Cryptographic Algorithm,Critical
Weak Random Number Generation,Critical
Predictable Random Numbers,Critical
Insufficient Entropy,Critical
Weak Key Generation,Critical
Key Reuse,Critical
IV Reuse,Critical
Nonce Reuse,Critical
Salt Reuse,Critical
ECB Mode Usage,Critical
CBC Padding Oracle,Critical
Timing Attack,Critical
Side-Channel Attack,Critical
Cache-based Attack,Critical
Power Analysis Attack,Critical
Electromagnetic Attack,Critical
Acoustic Attack,Critical
Fault Injection Attack,Critical
Cold Boot Attack,Critical
VM Escape,Critical
Container Escape,Critical
Sandbox Escape,Critical
Privilege Container Escalation,Critical
Kernel Exploit,Critical
Driver Exploit,Critical
Firmware Exploit,Critical
BIOS/UEFI Exploit,Critical
Bootloader Exploit,Critical
Hypervisor Exploit,Critical
SMM Exploit,Critical
TEE Exploit,Critical
SGX Exploit,Critical
ARM TrustZone Exploit,Critical
